 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.480
00:30;1.400
00:45;1.316
01:00;1.248
01:15;1.240
01:30;1.188
01:45;1.164
02:00;1.216
02:15;1.212
02:30;1.204
02:45;1.200
03:00;1.196
03:15;1.132
03:30;1.112
03:45;1.120
04:00;1.120
04:15;1.116
04:30;1.116
04:45;1.120
05:00;1.112
05:15;1.116
05:30;1.120
05:45;1.140
06:00;1.156
06:15;1.188
06:30;1.108
06:45;1.004
07:00;0.884
07:15;0.824
07:30;1.044
07:45;0.784
08:00;0.792
08:15;0.828
08:30;0.888
08:45;0.904
09:00;0.900
09:15;0.928
09:30;1.148
09:45;1.256
10:00;1.348
10:15;1.168
10:30;1.468
10:45;1.719
11:00;2.457
11:15;1.894
11:30;1.634
11:45;1.968
12:00;1.755
12:15;1.357
12:30;1.444
12:45;1.372
13:00;1.412
13:15;1.244
13:30;1.304
13:45;1.371
14:00;1.328
14:15;1.320
14:30;1.380
14:45;1.623
15:00;1.445
15:15;1.488
15:30;1.480
15:45;1.568
16:00;1.520
16:15;1.352
16:30;1.376
16:45;1.348
17:00;1.348
17:15;1.264
17:30;1.764
17:45;1.532
18:00;1.564
18:15;1.683
18:30;2.271
18:45;2.013
19:00;2.135
19:15;2.612
19:30;2.699
19:45;2.621
20:00;2.568
20:15;2.680
20:30;2.676
20:45;2.732
21:00;2.716
21:15;2.592
21:30;2.644
21:45;2.548
22:00;2.512
22:15;2.376
22:30;2.300
22:45;2.188
23:00;2.092
23:15;1.972
23:30;1.884
23:45;1.788
00:00;1.724
