 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.600
00:30;1.488
00:45;1.364
01:00;1.280
01:15;1.252
01:30;1.232
01:45;1.200
02:00;1.164
02:15;1.160
02:30;1.156
02:45;1.148
03:00;1.148
03:15;1.132
03:30;1.120
03:45;1.124
04:00;1.120
04:15;1.128
04:30;1.092
04:45;1.060
05:00;1.040
05:15;1.064
05:30;1.056
05:45;1.064
06:00;1.060
06:15;1.044
06:30;0.976
06:45;0.928
07:00;0.884
07:15;0.816
07:30;0.800
07:45;0.804
08:00;0.864
08:15;0.884
08:30;0.852
08:45;0.868
09:00;0.936
09:15;1.012
09:30;1.056
09:45;1.148
10:00;1.188
10:15;1.224
10:30;1.236
10:45;1.236
11:00;1.296
11:15;1.216
11:30;1.232
11:45;1.228
12:00;1.180
12:15;1.220
12:30;1.256
12:45;1.328
13:00;1.360
13:15;1.376
13:30;1.328
13:45;1.676
14:00;1.368
14:15;2.004
14:30;1.528
14:45;1.664
15:00;1.700
15:15;1.636
15:30;1.704
15:45;1.572
16:00;1.608
16:15;1.656
16:30;1.728
16:45;1.668
17:00;1.668
17:15;1.912
17:30;1.712
17:45;1.864
18:00;1.884
18:15;2.371
18:30;2.352
18:45;1.685
19:00;2.267
19:15;2.487
19:30;2.609
19:45;2.704
20:00;2.680
20:15;3.000
20:30;3.064
20:45;3.044
21:00;2.756
21:15;2.764
21:30;2.636
21:45;2.540
22:00;2.460
22:15;2.340
22:30;2.248
22:45;2.136
23:00;1.996
23:15;1.912
23:30;1.872
23:45;1.824
00:00;1.792
