 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.600
00:30;1.572
00:45;1.484
01:00;1.404
01:15;1.340
01:30;1.272
01:45;1.312
02:00;1.332
02:15;1.332
02:30;1.332
02:45;1.324
03:00;1.336
03:15;1.220
03:30;1.224
03:45;1.308
04:00;1.300
04:15;1.296
04:30;1.300
04:45;1.308
05:00;1.308
05:15;1.300
05:30;1.316
05:45;1.244
06:00;1.256
06:15;1.264
06:30;1.300
06:45;1.192
07:00;0.928
07:15;0.812
07:30;0.816
07:45;0.812
08:00;0.864
08:15;0.900
08:30;1.406
08:45;1.037
09:00;1.056
09:15;1.331
09:30;1.201
09:45;1.248
10:00;1.260
10:15;1.272
10:30;2.152
10:45;1.556
11:00;1.260
11:15;1.288
11:30;1.336
11:45;1.236
12:00;1.742
12:15;1.849
12:30;1.353
12:45;1.336
13:00;1.736
13:15;1.652
13:30;1.835
13:45;1.469
14:00;1.376
14:15;1.388
14:30;1.264
14:45;1.248
15:00;1.284
15:15;1.308
15:30;1.556
15:45;1.476
16:00;1.656
16:15;1.452
16:30;1.384
16:45;1.376
17:00;1.432
17:15;1.380
17:30;1.628
17:45;1.528
18:00;1.308
18:15;2.167
18:30;1.827
18:45;1.717
19:00;1.508
19:15;2.638
19:30;2.633
19:45;2.356
20:00;2.368
20:15;2.452
20:30;2.660
20:45;2.580
21:00;2.592
21:15;2.560
21:30;2.600
21:45;2.376
22:00;2.440
22:15;2.240
22:30;2.160
22:45;2.000
23:00;1.908
23:15;1.800
23:30;1.688
23:45;1.692
00:00;1.680
