 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;0.892
00:30;0.816
00:45;0.808
01:00;0.800
01:15;0.804
01:30;0.792
01:45;0.788
02:00;0.780
02:15;0.776
02:30;0.772
02:45;0.768
03:00;0.760
03:15;0.756
03:30;0.760
03:45;0.756
04:00;0.752
04:15;0.756
04:30;0.756
04:45;0.764
05:00;0.764
05:15;0.764
05:30;0.764
05:45;0.772
06:00;0.772
06:15;0.772
06:30;0.772
06:45;0.832
07:00;0.712
07:15;0.724
07:30;0.724
07:45;0.712
08:00;0.800
08:15;0.816
08:30;0.808
08:45;0.836
09:00;0.844
09:15;0.840
09:30;0.820
09:45;0.820
10:00;0.840
10:15;0.856
10:30;0.900
10:45;0.908
11:00;0.940
11:15;0.992
11:30;1.012
11:45;1.004
12:00;1.024
12:15;1.060
12:30;1.092
12:45;1.212
13:00;1.080
13:15;1.072
13:30;1.084
13:45;1.048
14:00;1.028
14:15;1.068
14:30;1.092
14:45;1.088
15:00;1.112
15:15;1.060
15:30;1.088
15:45;1.080
16:00;1.084
16:15;1.040
16:30;1.032
16:45;1.048
17:00;1.020
17:15;1.012
17:30;0.984
17:45;1.004
18:00;1.072
18:15;1.020
18:30;1.020
18:45;1.056
19:00;1.164
19:15;1.332
19:30;1.588
19:45;1.704
20:00;1.708
20:15;1.760
20:30;1.948
20:45;1.996
21:00;1.936
21:15;2.028
21:30;1.976
21:45;1.924
22:00;1.880
22:15;1.816
22:30;1.760
22:45;1.692
23:00;1.636
23:15;1.612
23:30;1.532
23:45;1.416
00:00;1.228
