 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.128
00:30;0.992
00:45;0.948
01:00;0.976
01:15;0.980
01:30;0.976
01:45;0.952
02:00;0.944
02:15;0.936
02:30;0.932
02:45;0.928
03:00;0.920
03:15;0.916
03:30;0.912
03:45;0.912
04:00;0.912
04:15;0.908
04:30;0.912
04:45;0.912
05:00;0.920
05:15;0.924
05:30;0.916
05:45;0.908
06:00;0.864
06:15;0.868
06:30;0.856
06:45;0.788
07:00;0.772
07:15;0.744
07:30;0.768
07:45;0.764
08:00;0.748
08:15;0.736
08:30;0.736
08:45;0.768
09:00;0.768
09:15;0.756
09:30;0.812
09:45;0.848
10:00;0.844
10:15;0.860
10:30;0.980
10:45;0.992
11:00;1.032
11:15;1.068
11:30;1.072
11:45;1.072
12:00;1.104
12:15;1.108
12:30;1.124
12:45;1.092
13:00;1.124
13:15;1.124
13:30;1.100
13:45;1.116
14:00;1.112
14:15;1.144
14:30;1.156
14:45;1.160
15:00;1.200
15:15;1.236
15:30;1.240
15:45;1.316
16:00;1.204
16:15;1.180
16:30;1.180
16:45;1.124
17:00;1.092
17:15;1.088
17:30;1.108
17:45;1.096
18:00;1.072
18:15;1.060
18:30;1.028
18:45;1.060
19:00;1.172
19:15;1.400
19:30;1.776
19:45;1.916
20:00;2.032
20:15;2.016
20:30;2.084
20:45;2.028
21:00;2.076
21:15;2.132
21:30;2.036
21:45;2.040
22:00;2.028
22:15;1.944
22:30;1.896
22:45;1.836
23:00;1.760
23:15;1.616
23:30;1.552
23:45;1.492
00:00;1.324
