 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.232
00:30;1.144
00:45;1.116
01:00;1.120
01:15;1.108
01:30;1.100
01:45;1.092
02:00;1.088
02:15;1.076
02:30;1.072
02:45;1.076
03:00;1.076
03:15;1.072
03:30;1.068
03:45;1.064
04:00;1.064
04:15;1.068
04:30;1.064
04:45;1.060
05:00;1.064
05:15;1.072
05:30;1.100
05:45;1.128
06:00;1.132
06:15;1.092
06:30;0.984
06:45;0.900
07:00;0.856
07:15;0.832
07:30;0.812
07:45;1.163
08:00;0.812
08:15;0.868
08:30;1.172
08:45;1.287
09:00;1.116
09:15;1.168
09:30;1.112
09:45;1.048
10:00;1.152
10:15;1.076
10:30;1.164
10:45;1.412
11:00;1.244
11:15;1.140
11:30;1.160
11:45;1.296
12:00;1.823
12:15;1.581
12:30;1.276
12:45;1.252
13:00;1.568
13:15;1.783
13:30;1.837
13:45;1.432
14:00;1.364
14:15;1.536
14:30;1.356
14:45;1.640
15:00;1.480
15:15;1.484
15:30;1.428
15:45;1.623
16:00;1.624
16:15;1.401
16:30;1.424
16:45;1.524
17:00;1.440
17:15;1.508
17:30;1.404
17:45;1.683
18:00;1.413
18:15;1.716
18:30;1.644
18:45;2.376
19:00;2.235
19:15;2.480
19:30;2.683
19:45;2.864
20:00;3.029
20:15;2.776
20:30;2.716
20:45;2.668
21:00;2.372
21:15;2.196
21:30;2.080
21:45;2.016
22:00;1.976
22:15;1.936
22:30;1.908
22:45;1.864
23:00;1.808
23:15;1.772
23:30;1.720
23:45;1.576
00:00;1.496
