 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.632
00:30;1.536
00:45;1.428
01:00;1.396
01:15;1.380
01:30;1.364
01:45;1.352
02:00;1.344
02:15;1.340
02:30;1.256
02:45;1.216
03:00;1.208
03:15;1.200
03:30;1.204
03:45;1.200
04:00;1.200
04:15;1.196
04:30;1.200
04:45;1.212
05:00;1.212
05:15;1.184
05:30;1.276
05:45;1.500
06:00;1.496
06:15;1.196
06:30;1.052
06:45;0.924
07:00;0.848
07:15;0.876
07:30;0.808
07:45;0.844
08:00;0.864
08:15;1.164
08:30;0.944
08:45;0.940
09:00;0.964
09:15;1.076
09:30;1.100
09:45;1.108
10:00;1.464
10:15;1.372
10:30;1.624
10:45;1.629
11:00;1.144
11:15;1.192
11:30;1.244
11:45;1.316
12:00;1.660
12:15;1.348
12:30;1.575
12:45;1.585
13:00;1.424
13:15;1.316
13:30;1.324
13:45;1.316
14:00;2.196
14:15;1.380
14:30;1.488
14:45;1.328
15:00;1.560
15:15;1.328
15:30;1.376
15:45;1.364
16:00;1.364
16:15;1.416
16:30;1.268
16:45;1.460
17:00;1.232
17:15;1.631
17:30;1.257
17:45;1.264
18:00;1.500
18:15;1.483
18:30;1.813
18:45;1.368
19:00;2.491
19:15;1.908
19:30;2.204
19:45;2.703
20:00;2.560
20:15;2.616
20:30;2.644
20:45;2.968
21:00;3.140
21:15;2.772
21:30;2.672
21:45;2.512
22:00;2.432
22:15;2.320
22:30;2.192
22:45;2.072
23:00;2.032
23:15;1.948
23:30;1.808
23:45;1.656
00:00;1.612
