 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.404
00:30;1.340
00:45;1.296
01:00;1.272
01:15;1.224
01:30;1.196
01:45;1.180
02:00;1.180
02:15;1.168
02:30;1.160
02:45;1.152
03:00;1.152
03:15;1.144
03:30;1.136
03:45;1.144
04:00;1.140
04:15;1.096
04:30;1.056
04:45;1.052
05:00;1.052
05:15;1.068
05:30;1.076
05:45;1.084
06:00;1.092
06:15;1.104
06:30;0.992
06:45;0.860
07:00;0.812
07:15;0.788
07:30;0.796
07:45;0.780
08:00;0.808
08:15;0.836
08:30;1.184
08:45;0.856
09:00;0.848
09:15;0.960
09:30;1.076
09:45;1.260
10:00;1.300
10:15;1.184
10:30;1.232
10:45;1.236
11:00;1.228
11:15;1.340
11:30;1.420
11:45;1.436
12:00;1.627
12:15;1.753
12:30;1.380
12:45;1.703
13:00;1.389
13:15;1.740
13:30;1.336
13:45;1.520
14:00;1.692
14:15;1.480
14:30;1.384
14:45;1.420
15:00;1.476
15:15;1.400
15:30;1.360
15:45;1.384
16:00;1.408
16:15;1.460
16:30;1.448
16:45;1.416
17:00;1.312
17:15;1.296
17:30;1.292
17:45;1.324
18:00;1.648
18:15;1.999
18:30;1.765
18:45;2.016
19:00;1.676
19:15;2.723
19:30;2.693
19:45;3.208
20:00;2.764
20:15;2.776
20:30;2.648
20:45;2.696
21:00;2.596
21:15;2.700
21:30;2.656
21:45;2.548
22:00;2.436
22:15;2.292
22:30;2.208
22:45;2.104
23:00;1.944
23:15;1.764
23:30;1.560
23:45;1.428
00:00;1.368
