 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.732
00:30;1.648
00:45;1.540
01:00;1.348
01:15;1.316
01:30;1.260
01:45;1.232
02:00;1.228
02:15;1.208
02:30;1.204
02:45;1.196
03:00;1.192
03:15;1.184
03:30;1.188
03:45;1.180
04:00;1.188
04:15;1.172
04:30;1.132
04:45;1.092
05:00;1.096
05:15;1.100
05:30;1.096
05:45;1.104
06:00;1.124
06:15;1.124
06:30;1.052
06:45;0.924
07:00;0.872
07:15;0.828
07:30;0.788
07:45;0.836
08:00;0.792
08:15;0.816
08:30;0.804
08:45;1.123
09:00;0.829
09:15;0.812
09:30;1.072
09:45;0.956
10:00;1.196
10:15;1.220
10:30;1.196
10:45;1.216
11:00;1.348
11:15;1.396
11:30;1.485
11:45;1.276
12:00;1.456
12:15;1.440
12:30;1.504
12:45;1.747
13:00;1.512
13:15;1.528
13:30;1.504
13:45;1.216
14:00;1.220
14:15;1.240
14:30;1.204
14:45;1.396
15:00;1.220
15:15;1.388
15:30;1.220
15:45;1.216
16:00;1.304
16:15;1.492
16:30;1.236
16:45;1.204
17:00;1.264
17:15;1.292
17:30;1.711
17:45;1.340
18:00;1.352
18:15;1.300
18:30;1.444
18:45;1.572
19:00;1.393
19:15;2.283
19:30;2.364
19:45;2.412
20:00;2.468
20:15;2.712
20:30;2.804
20:45;2.716
21:00;2.552
21:15;2.576
21:30;2.448
21:45;2.400
22:00;2.364
22:15;2.264
22:30;2.112
22:45;1.936
23:00;1.792
23:15;1.728
23:30;1.664
23:45;1.572
00:00;1.572
