 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.208
00:30;1.104
00:45;1.056
01:00;1.040
01:15;1.032
01:30;1.012
01:45;1.004
02:00;1.000
02:15;0.988
02:30;0.976
02:45;0.976
03:00;0.980
03:15;0.972
03:30;0.968
03:45;0.952
04:00;0.876
04:15;0.876
04:30;0.872
04:45;0.836
05:00;0.828
05:15;0.820
05:30;0.832
05:45;0.832
06:00;0.840
06:15;0.852
06:30;0.840
06:45;0.784
07:00;0.772
07:15;0.784
07:30;0.788
07:45;0.800
08:00;0.804
08:15;0.812
08:30;0.796
08:45;0.784
09:00;0.780
09:15;0.832
09:30;0.840
09:45;0.868
10:00;0.924
10:15;1.096
10:30;2.878
10:45;2.114
11:00;1.156
11:15;1.132
11:30;1.032
11:45;0.964
12:00;0.968
12:15;0.984
12:30;0.984
12:45;0.992
13:00;1.100
13:15;1.148
13:30;1.164
13:45;1.168
14:00;1.244
14:15;1.272
14:30;1.320
14:45;1.340
15:00;1.340
15:15;1.368
15:30;1.376
15:45;1.324
16:00;1.364
16:15;1.280
16:30;1.264
16:45;1.308
17:00;1.284
17:15;1.360
17:30;1.376
17:45;1.296
18:00;1.264
18:15;1.236
18:30;1.240
18:45;1.264
19:00;1.332
19:15;1.620
19:30;2.072
19:45;2.096
20:00;2.172
20:15;2.212
20:30;2.216
20:45;2.232
21:00;2.296
21:15;2.084
21:30;2.124
21:45;2.036
22:00;1.972
22:15;1.888
22:30;1.780
22:45;1.728
23:00;1.664
23:15;1.616
23:30;1.532
23:45;1.312
00:00;1.212
