 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.592
00:30;1.528
00:45;1.460
01:00;1.372
01:15;1.360
01:30;1.344
01:45;1.332
02:00;1.324
02:15;1.316
02:30;1.300
02:45;1.284
03:00;1.276
03:15;1.276
03:30;1.280
03:45;1.180
04:00;1.140
04:15;1.104
04:30;1.076
04:45;1.076
05:00;1.072
05:15;1.080
05:30;1.080
05:45;1.084
06:00;1.088
06:15;1.100
06:30;1.028
06:45;0.984
07:00;0.864
07:15;0.800
07:30;0.776
07:45;0.848
08:00;0.984
08:15;0.980
08:30;0.968
08:45;1.092
09:00;1.164
09:15;1.200
09:30;1.300
09:45;1.300
10:00;1.320
10:15;1.316
10:30;1.300
10:45;1.308
11:00;1.843
11:15;1.405
11:30;1.831
11:45;1.365
12:00;1.583
12:15;1.984
12:30;1.313
12:45;1.412
13:00;1.348
13:15;1.336
13:30;1.555
13:45;1.381
14:00;1.416
14:15;1.504
14:30;1.492
14:45;1.500
15:00;1.456
15:15;1.612
15:30;1.496
15:45;1.460
16:00;1.580
16:15;1.584
16:30;1.552
16:45;1.824
17:00;1.460
17:15;1.768
17:30;1.492
17:45;1.536
18:00;1.476
18:15;2.319
18:30;2.169
18:45;1.684
19:00;2.039
19:15;2.383
19:30;2.861
19:45;2.816
20:00;2.620
20:15;2.724
20:30;2.752
20:45;2.688
21:00;2.592
21:15;2.836
21:30;2.612
21:45;2.396
22:00;2.280
22:15;2.200
22:30;2.036
22:45;1.940
23:00;1.920
23:15;1.892
23:30;1.860
23:45;1.824
00:00;1.764
