 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.516
00:30;1.304
00:45;1.256
01:00;1.252
01:15;1.280
01:30;1.292
01:45;1.288
02:00;1.280
02:15;1.272
02:30;1.264
02:45;1.252
03:00;1.244
03:15;1.244
03:30;1.232
03:45;1.164
04:00;1.156
04:15;1.148
04:30;1.140
04:45;1.144
05:00;1.132
05:15;1.152
05:30;1.164
05:45;1.192
06:00;1.224
06:15;1.220
06:30;1.124
06:45;0.968
07:00;0.884
07:15;0.824
07:30;0.800
07:45;0.812
08:00;0.828
08:15;0.808
08:30;0.960
08:45;0.884
09:00;1.016
09:15;1.424
09:30;1.304
09:45;1.492
10:00;1.284
10:15;1.252
10:30;1.451
10:45;1.233
11:00;1.528
11:15;1.516
11:30;1.631
11:45;1.401
12:00;1.396
12:15;1.568
12:30;2.127
12:45;1.661
13:00;1.668
13:15;1.520
13:30;1.500
13:45;1.560
14:00;1.516
14:15;1.484
14:30;1.336
14:45;1.344
15:00;1.344
15:15;1.324
15:30;1.388
15:45;1.436
16:00;1.628
16:15;1.408
16:30;1.540
16:45;1.444
17:00;1.436
17:15;1.472
17:30;1.815
17:45;1.913
18:00;1.972
18:15;1.513
18:30;1.532
18:45;1.540
19:00;2.392
19:15;2.327
19:30;2.600
19:45;2.688
20:00;2.936
20:15;2.576
20:30;2.536
20:45;2.632
21:00;2.660
21:15;2.500
21:30;2.636
21:45;2.476
22:00;2.352
22:15;2.268
22:30;2.072
22:45;1.836
23:00;1.748
23:15;1.696
23:30;1.624
23:45;1.620
00:00;1.592
