 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.512
00:30;1.308
00:45;1.288
01:00;1.260
01:15;1.248
01:30;1.240
01:45;1.232
02:00;1.224
02:15;1.220
02:30;1.212
02:45;1.212
03:00;1.196
03:15;1.196
03:30;1.196
03:45;1.192
04:00;1.196
04:15;1.192
04:30;1.152
04:45;1.112
05:00;1.108
05:15;1.108
05:30;1.120
05:45;1.132
06:00;1.164
06:15;1.164
06:30;1.104
06:45;0.980
07:00;0.948
07:15;0.920
07:30;0.852
07:45;0.824
08:00;0.836
08:15;0.896
08:30;0.976
08:45;1.036
09:00;1.084
09:15;1.120
09:30;1.176
09:45;1.212
10:00;1.244
10:15;1.400
10:30;1.571
10:45;1.911
11:00;1.497
11:15;1.695
11:30;1.652
11:45;1.736
12:00;1.512
12:15;1.356
12:30;1.348
12:45;1.324
13:00;1.332
13:15;1.372
13:30;1.608
13:45;1.364
14:00;1.400
14:15;1.444
14:30;1.416
14:45;1.416
15:00;1.440
15:15;1.516
15:30;1.560
15:45;1.500
16:00;1.480
16:15;1.544
16:30;1.376
16:45;2.035
17:00;1.389
17:15;1.384
17:30;1.748
17:45;1.392
18:00;1.360
18:15;1.515
18:30;2.224
18:45;1.820
19:00;1.625
19:15;2.091
19:30;2.328
19:45;2.712
20:00;2.512
20:15;2.540
20:30;2.560
20:45;2.560
21:00;2.436
21:15;2.728
21:30;2.456
21:45;2.328
22:00;2.268
22:15;2.216
22:30;2.164
22:45;2.040
23:00;1.904
23:15;1.808
23:30;1.732
23:45;1.740
00:00;1.692
