 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.448
00:30;1.316
00:45;1.296
01:00;1.284
01:15;1.268
01:30;1.248
01:45;1.232
02:00;1.228
02:15;1.208
02:30;1.204
02:45;1.200
03:00;1.196
03:15;1.192
03:30;1.196
03:45;1.204
04:00;1.200
04:15;1.200
04:30;1.176
04:45;1.100
05:00;1.104
05:15;1.116
05:30;1.136
05:45;1.136
06:00;1.152
06:15;1.104
06:30;1.008
06:45;0.860
07:00;0.804
07:15;0.776
07:30;0.784
07:45;1.048
08:00;0.772
08:15;1.362
08:30;0.850
08:45;0.928
09:00;0.848
09:15;0.904
09:30;0.980
09:45;1.016
10:00;1.420
10:15;1.340
10:30;1.364
10:45;1.495
11:00;1.866
11:15;1.270
11:30;1.571
11:45;1.601
12:00;1.772
12:15;1.360
12:30;1.452
12:45;1.563
13:00;1.209
13:15;1.288
13:30;1.596
13:45;1.536
14:00;1.189
14:15;1.164
14:30;1.156
14:45;1.456
15:00;1.180
15:15;1.160
15:30;1.192
15:45;1.200
16:00;1.456
16:15;1.140
16:30;1.128
16:45;1.152
17:00;1.164
17:15;1.516
17:30;1.424
17:45;1.695
18:00;1.157
18:15;1.316
18:30;1.596
18:45;1.480
19:00;2.230
19:15;2.601
19:30;2.528
19:45;2.644
20:00;2.711
20:15;2.645
20:30;2.440
20:45;2.440
21:00;2.364
21:15;2.540
21:30;2.464
21:45;2.452
22:00;2.448
22:15;2.276
22:30;2.156
22:45;2.040
23:00;1.904
23:15;1.848
23:30;1.792
23:45;1.684
00:00;1.532
