 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.080
00:30;0.996
00:45;0.952
01:00;0.924
01:15;0.912
01:30;0.900
01:45;0.904
02:00;0.892
02:15;0.884
02:30;0.884
02:45;0.880
03:00;0.876
03:15;0.880
03:30;0.876
03:45;0.868
04:00;0.872
04:15;0.872
04:30;0.876
04:45;0.804
05:00;0.792
05:15;0.796
05:30;0.800
05:45;0.812
06:00;0.812
06:15;0.816
06:30;0.784
06:45;0.684
07:00;0.648
07:15;0.656
07:30;0.680
07:45;0.676
08:00;0.680
08:15;0.668
08:30;0.640
08:45;0.640
09:00;0.688
09:15;0.720
09:30;0.740
09:45;0.864
10:00;0.944
10:15;0.968
10:30;1.000
10:45;1.016
11:00;1.032
11:15;1.032
11:30;1.172
11:45;1.228
12:00;1.252
12:15;1.260
12:30;1.264
12:45;1.312
13:00;1.328
13:15;1.304
13:30;1.344
13:45;1.352
14:00;1.340
14:15;1.320
14:30;1.308
14:45;1.284
15:00;1.280
15:15;1.248
15:30;1.256
15:45;1.196
16:00;1.260
16:15;1.312
16:30;1.332
16:45;1.296
17:00;1.304
17:15;1.304
17:30;1.440
17:45;1.400
18:00;1.288
18:15;1.260
18:30;1.520
18:45;1.640
19:00;1.716
19:15;1.848
19:30;2.056
19:45;2.260
20:00;2.372
20:15;2.424
20:30;2.388
20:45;2.348
21:00;2.332
21:15;2.208
21:30;2.280
21:45;2.196
22:00;2.148
22:15;2.068
22:30;2.028
22:45;1.964
23:00;1.864
23:15;1.704
23:30;1.548
23:45;1.444
00:00;1.336
