 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.172
00:30;1.140
00:45;1.124
01:00;1.160
01:15;1.156
01:30;1.140
01:45;1.104
02:00;1.052
02:15;1.036
02:30;1.016
02:45;0.932
03:00;0.924
03:15;0.920
03:30;0.912
03:45;0.936
04:00;0.844
04:15;0.836
04:30;0.844
04:45;0.844
05:00;0.860
05:15;0.860
05:30;0.856
05:45;0.864
06:00;0.868
06:15;0.876
06:30;0.924
06:45;0.920
07:00;0.856
07:15;0.788
07:30;0.796
07:45;0.776
08:00;0.776
08:15;0.824
08:30;0.848
08:45;0.848
09:00;0.864
09:15;0.844
09:30;0.884
09:45;1.012
10:00;1.032
10:15;1.084
10:30;1.084
10:45;1.120
11:00;1.120
11:15;1.140
11:30;1.168
11:45;1.248
12:00;1.304
12:15;1.316
12:30;1.276
12:45;1.268
13:00;1.304
13:15;1.268
13:30;1.264
13:45;1.260
14:00;1.232
14:15;1.280
14:30;1.360
14:45;1.372
15:00;1.424
15:15;1.440
15:30;1.464
15:45;1.480
16:00;1.444
16:15;1.372
16:30;1.340
16:45;1.320
17:00;1.276
17:15;1.304
17:30;1.280
17:45;1.264
18:00;1.284
18:15;1.352
18:30;1.364
18:45;1.532
19:00;1.708
19:15;1.992
19:30;2.332
19:45;2.484
20:00;2.608
20:15;2.580
20:30;2.604
20:45;2.608
21:00;2.472
21:15;2.508
21:30;2.372
21:45;2.324
22:00;2.272
22:15;2.316
22:30;2.012
22:45;1.776
23:00;1.668
23:15;1.584
23:30;1.504
23:45;1.440
00:00;1.256
