 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.168
00:30;1.024
00:45;0.996
01:00;0.988
01:15;0.960
01:30;0.956
01:45;0.952
02:00;0.956
02:15;0.948
02:30;0.948
02:45;0.948
03:00;0.944
03:15;0.948
03:30;0.948
03:45;0.952
04:00;0.968
04:15;0.976
04:30;0.972
04:45;0.972
05:00;0.980
05:15;1.000
05:30;1.016
05:45;1.024
06:00;1.016
06:15;1.012
06:30;0.992
06:45;0.924
07:00;0.864
07:15;0.844
07:30;0.880
07:45;0.900
08:00;0.920
08:15;0.940
08:30;0.956
08:45;0.968
09:00;1.147
09:15;1.380
09:30;1.120
09:45;1.092
10:00;1.628
10:15;1.076
10:30;1.576
10:45;1.507
11:00;1.368
11:15;1.548
11:30;1.966
11:45;1.873
12:00;1.380
12:15;1.352
12:30;1.823
12:45;1.477
13:00;1.504
13:15;1.651
13:30;1.353
13:45;1.492
14:00;1.615
14:15;1.959
14:30;1.853
14:45;1.568
15:00;1.568
15:15;1.868
15:30;1.828
15:45;1.724
16:00;1.704
16:15;1.724
16:30;1.788
16:45;1.752
17:00;1.844
17:15;1.660
17:30;2.011
17:45;1.817
18:00;1.564
18:15;1.424
18:30;1.703
18:45;1.773
19:00;2.247
19:15;2.092
19:30;2.495
19:45;3.119
20:00;3.001
20:15;2.816
20:30;2.904
20:45;3.008
21:00;2.756
21:15;2.892
21:30;2.688
21:45;2.440
22:00;2.312
22:15;2.156
22:30;2.064
22:45;2.004
23:00;1.868
23:15;1.772
23:30;1.668
23:45;1.552
00:00;1.508
