 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.472
00:30;1.356
00:45;1.336
01:00;1.316
01:15;1.312
01:30;1.304
01:45;1.284
02:00;1.284
02:15;1.272
02:30;1.280
02:45;1.268
03:00;1.244
03:15;1.240
03:30;1.240
03:45;1.196
04:00;1.192
04:15;1.192
04:30;1.208
04:45;1.188
05:00;1.180
05:15;1.196
05:30;1.184
05:45;1.200
06:00;1.212
06:15;1.184
06:30;1.308
06:45;1.164
07:00;0.924
07:15;0.888
07:30;0.836
07:45;0.888
08:00;1.176
08:15;0.956
08:30;0.944
08:45;0.956
09:00;0.976
09:15;0.976
09:30;1.236
09:45;1.208
10:00;1.076
10:15;1.244
10:30;1.735
10:45;1.317
11:00;1.164
11:15;1.172
11:30;1.256
11:45;1.280
12:00;1.304
12:15;2.002
12:30;1.333
12:45;1.575
13:00;1.692
13:15;1.380
13:30;1.412
13:45;1.468
14:00;1.540
14:15;1.344
14:30;2.159
14:45;1.385
15:00;1.588
15:15;1.416
15:30;1.376
15:45;1.368
16:00;1.348
16:15;1.576
16:30;1.348
16:45;1.344
17:00;1.340
17:15;1.324
17:30;1.268
17:45;1.384
18:00;1.300
18:15;1.388
18:30;1.579
18:45;1.984
19:00;1.844
19:15;2.216
19:30;2.847
19:45;2.468
20:00;2.768
20:15;2.876
20:30;2.568
20:45;2.520
21:00;2.604
21:15;2.616
21:30;2.416
21:45;2.168
22:00;2.012
22:15;1.940
22:30;1.868
22:45;1.828
23:00;1.764
23:15;1.636
23:30;1.516
23:45;1.472
00:00;1.332
