 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.128
00:30;1.108
00:45;1.080
01:00;1.076
01:15;1.068
01:30;1.064
01:45;1.064
02:00;1.060
02:15;1.056
02:30;1.044
02:45;1.036
03:00;1.028
03:15;0.968
03:30;0.944
03:45;0.932
04:00;0.932
04:15;0.928
04:30;0.928
04:45;0.928
05:00;0.924
05:15;0.928
05:30;0.928
05:45;0.928
06:00;0.932
06:15;0.920
06:30;0.924
06:45;0.884
07:00;0.796
07:15;0.792
07:30;0.792
07:45;0.864
08:00;0.952
08:15;0.916
08:30;0.932
08:45;0.972
09:00;1.060
09:15;1.032
09:30;1.088
09:45;1.096
10:00;1.200
10:15;1.144
10:30;1.240
10:45;1.316
11:00;1.340
11:15;1.332
11:30;1.332
11:45;1.472
12:00;1.332
12:15;1.380
12:30;1.551
12:45;1.369
13:00;1.372
13:15;1.372
13:30;1.376
13:45;1.404
14:00;1.376
14:15;1.368
14:30;1.424
14:45;1.484
15:00;1.560
15:15;1.624
15:30;1.648
15:45;1.732
16:00;1.792
16:15;1.796
16:30;1.772
16:45;1.684
17:00;1.636
17:15;1.624
17:30;1.580
17:45;1.520
18:00;1.504
18:15;1.452
18:30;1.468
18:45;1.552
19:00;1.700
19:15;1.912
19:30;2.152
19:45;2.276
20:00;2.348
20:15;2.452
20:30;2.496
20:45;2.476
21:00;2.348
21:15;2.380
21:30;2.252
21:45;2.140
22:00;2.108
22:15;1.988
22:30;1.884
22:45;1.764
23:00;1.652
23:15;1.616
23:30;1.560
23:45;1.404
00:00;1.252
