 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.452
00:30;1.432
00:45;1.408
01:00;1.372
01:15;1.344
01:30;1.324
01:45;1.324
02:00;1.312
02:15;1.300
02:30;1.284
02:45;1.280
03:00;1.276
03:15;1.280
03:30;1.272
03:45;1.272
04:00;1.276
04:15;1.272
04:30;1.272
04:45;1.272
05:00;1.276
05:15;1.284
05:30;1.292
05:45;1.256
06:00;1.252
06:15;1.280
06:30;1.108
06:45;0.892
07:00;0.820
07:15;0.856
07:30;0.812
07:45;0.784
08:00;0.764
08:15;0.804
08:30;1.087
08:45;0.865
09:00;1.016
09:15;1.268
09:30;1.048
09:45;1.076
10:00;1.064
10:15;1.672
10:30;1.108
10:45;1.467
11:00;3.139
11:15;1.505
11:30;1.304
11:45;1.304
12:00;1.432
12:15;1.936
12:30;1.808
12:45;1.344
13:00;1.576
13:15;1.592
13:30;1.356
13:45;1.396
14:00;1.368
14:15;1.360
14:30;1.224
14:45;1.252
15:00;1.256
15:15;1.300
15:30;1.320
15:45;1.292
16:00;1.268
16:15;1.312
16:30;1.236
16:45;1.344
17:00;1.408
17:15;1.644
17:30;1.376
17:45;1.388
18:00;1.296
18:15;1.775
18:30;1.589
18:45;2.059
19:00;1.793
19:15;1.975
19:30;2.376
19:45;2.568
20:00;2.636
20:15;2.728
20:30;2.780
20:45;2.596
21:00;2.823
21:15;3.016
21:30;2.856
21:45;2.424
22:00;2.264
22:15;2.172
22:30;2.232
22:45;2.104
23:00;2.028
23:15;1.912
23:30;1.848
23:45;1.728
00:00;1.604
