 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;0.760
00:30;0.752
00:45;0.732
01:00;0.728
01:15;0.724
01:30;0.720
01:45;0.712
02:00;0.700
02:15;0.696
02:30;0.696
02:45;0.692
03:00;0.692
03:15;0.692
03:30;0.704
03:45;0.700
04:00;0.692
04:15;0.684
04:30;0.688
04:45;0.684
05:00;0.684
05:15;0.684
05:30;0.684
05:45;0.684
06:00;0.688
06:15;0.692
06:30;0.692
06:45;0.668
07:00;0.656
07:15;0.660
07:30;0.696
07:45;0.720
08:00;0.696
08:15;0.712
08:30;0.712
08:45;0.712
09:00;0.712
09:15;0.712
09:30;0.708
09:45;0.704
10:00;0.736
10:15;0.724
10:30;0.756
10:45;0.772
11:00;0.796
11:15;0.816
11:30;0.952
11:45;0.940
12:00;0.936
12:15;0.956
12:30;0.952
12:45;0.920
13:00;0.932
13:15;0.916
13:30;0.920
13:45;0.920
14:00;0.932
14:15;0.904
14:30;0.876
14:45;0.860
15:00;0.868
15:15;0.900
15:30;0.928
15:45;0.956
16:00;0.992
16:15;0.972
16:30;0.976
16:45;0.948
17:00;0.952
17:15;0.968
17:30;0.936
17:45;0.940
18:00;0.976
18:15;1.020
18:30;1.016
18:45;1.008
19:00;1.100
19:15;1.192
19:30;1.360
19:45;1.404
20:00;1.416
20:15;1.472
20:30;1.448
20:45;1.508
21:00;1.492
21:15;1.524
21:30;1.408
21:45;1.364
22:00;1.312
22:15;1.296
22:30;1.264
22:45;1.204
23:00;1.152
23:15;1.076
23:30;1.028
23:45;0.972
00:00;0.956
