 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.708
00:30;1.604
00:45;1.452
01:00;1.360
01:15;1.292
01:30;1.300
01:45;1.292
02:00;1.292
02:15;1.284
02:30;1.268
02:45;1.236
03:00;1.232
03:15;1.232
03:30;1.232
03:45;1.228
04:00;1.220
04:15;1.224
04:30;1.228
04:45;1.232
05:00;1.236
05:15;1.240
05:30;1.244
05:45;1.264
06:00;1.252
06:15;1.248
06:30;1.040
06:45;0.880
07:00;0.812
07:15;0.772
07:30;0.788
07:45;0.832
08:00;0.804
08:15;0.832
08:30;0.836
08:45;0.924
09:00;1.008
09:15;1.140
09:30;1.144
09:45;1.320
10:00;1.220
10:15;1.088
10:30;1.795
10:45;1.248
11:00;1.244
11:15;1.412
11:30;1.420
11:45;1.320
12:00;1.456
12:15;1.392
12:30;1.364
12:45;1.304
13:00;1.368
13:15;1.416
13:30;1.336
13:45;1.320
14:00;1.364
14:15;1.492
14:30;1.608
14:45;2.246
15:00;1.706
15:15;1.592
15:30;1.428
15:45;1.596
16:00;1.428
16:15;1.668
16:30;1.376
16:45;1.460
17:00;1.304
17:15;1.352
17:30;1.352
17:45;1.316
18:00;1.532
18:15;1.484
18:30;2.084
18:45;1.628
19:00;1.548
19:15;2.179
19:30;3.291
19:45;2.460
20:00;2.576
20:15;2.684
20:30;2.704
20:45;2.972
21:00;2.948
21:15;3.072
21:30;2.956
21:45;2.644
22:00;2.512
22:15;2.372
22:30;2.228
22:45;2.116
23:00;1.940
23:15;1.852
23:30;1.816
23:45;1.744
00:00;1.604
