 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.264
00:30;1.200
00:45;1.184
01:00;1.180
01:15;1.156
01:30;1.148
01:45;1.140
02:00;1.132
02:15;1.112
02:30;1.112
02:45;1.108
03:00;1.100
03:15;1.096
03:30;1.100
03:45;1.092
04:00;1.092
04:15;1.088
04:30;1.092
04:45;1.092
05:00;1.084
05:15;1.024
05:30;1.032
05:45;1.044
06:00;1.068
06:15;1.108
06:30;1.044
06:45;0.872
07:00;0.808
07:15;0.800
07:30;0.772
07:45;0.792
08:00;0.808
08:15;0.824
08:30;0.820
08:45;0.816
09:00;0.848
09:15;0.888
09:30;0.984
09:45;1.044
10:00;1.088
10:15;1.124
10:30;1.140
10:45;1.140
11:00;1.168
11:15;1.192
11:30;1.200
11:45;1.216
12:00;1.260
12:15;1.276
12:30;1.328
12:45;1.292
13:00;1.547
13:15;3.790
13:30;1.739
13:45;1.963
14:00;2.902
14:15;2.623
14:30;2.422
14:45;2.780
15:00;2.078
15:15;1.352
15:30;2.046
15:45;2.729
16:00;2.425
16:15;1.312
16:30;1.288
16:45;1.264
17:00;1.476
17:15;1.348
17:30;1.527
17:45;1.844
18:00;1.464
18:15;1.657
18:30;1.988
18:45;2.590
19:00;1.758
19:15;2.755
19:30;2.600
19:45;2.592
20:00;2.296
20:15;2.348
20:30;2.532
20:45;2.484
21:00;2.732
21:15;2.664
21:30;2.432
21:45;2.296
22:00;2.244
22:15;2.116
22:30;2.056
22:45;1.884
23:00;1.812
23:15;1.632
23:30;1.568
23:45;1.572
00:00;1.596
