 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.428
00:30;1.356
00:45;1.320
01:00;1.288
01:15;1.260
01:30;1.248
01:45;1.236
02:00;1.204
02:15;1.224
02:30;1.212
02:45;1.208
03:00;1.148
03:15;1.120
03:30;1.108
03:45;1.088
04:00;1.068
04:15;1.068
04:30;1.056
04:45;1.060
05:00;1.056
05:15;1.060
05:30;1.052
05:45;1.060
06:00;1.072
06:15;1.068
06:30;0.960
06:45;0.872
07:00;0.848
07:15;0.792
07:30;0.772
07:45;0.768
08:00;0.772
08:15;0.776
08:30;0.796
08:45;0.796
09:00;0.792
09:15;0.884
09:30;0.964
09:45;0.964
10:00;1.248
10:15;1.104
10:30;1.208
10:45;1.192
11:00;1.212
11:15;1.628
11:30;1.556
11:45;1.324
12:00;1.404
12:15;1.384
12:30;1.260
12:45;1.532
13:00;1.428
13:15;1.328
13:30;2.267
13:45;1.317
14:00;1.260
14:15;1.452
14:30;1.336
14:45;1.340
15:00;1.536
15:15;1.396
15:30;1.460
15:45;1.756
16:00;1.500
16:15;1.428
16:30;1.440
16:45;1.452
17:00;1.884
17:15;1.628
17:30;2.136
17:45;1.577
18:00;2.519
18:15;1.445
18:30;1.696
18:45;1.776
19:00;1.900
19:15;2.104
19:30;2.671
19:45;2.756
20:00;2.820
20:15;2.688
20:30;2.760
20:45;3.004
21:00;2.988
21:15;2.712
21:30;2.628
21:45;2.488
22:00;2.376
22:15;2.280
22:30;2.264
22:45;2.148
23:00;2.088
23:15;2.032
23:30;1.888
23:45;1.752
00:00;1.652
