 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;0.884
00:30;0.828
00:45;0.828
01:00;0.864
01:15;0.856
01:30;0.852
01:45;0.852
02:00;0.840
02:15;0.840
02:30;0.840
02:45;0.836
03:00;0.836
03:15;0.832
03:30;0.828
03:45;0.828
04:00;0.832
04:15;0.828
04:30;0.816
04:45;0.820
05:00;0.820
05:15;0.812
05:30;0.812
05:45;0.820
06:00;0.824
06:15;0.788
06:30;0.716
06:45;0.704
07:00;0.708
07:15;0.732
07:30;0.704
07:45;0.696
08:00;0.704
08:15;0.712
08:30;0.700
08:45;0.704
09:00;0.756
09:15;0.768
09:30;0.764
09:45;0.760
10:00;0.760
10:15;0.832
10:30;0.832
10:45;0.896
11:00;0.940
11:15;0.936
11:30;0.948
11:45;0.952
12:00;0.952
12:15;0.956
12:30;0.988
12:45;1.024
13:00;1.000
13:15;1.016
13:30;0.992
13:45;1.000
14:00;0.948
14:15;0.896
14:30;0.924
14:45;0.952
15:00;0.988
15:15;0.996
15:30;1.168
15:45;1.092
16:00;1.068
16:15;1.056
16:30;1.080
16:45;1.052
17:00;1.044
17:15;1.080
17:30;1.068
17:45;1.036
18:00;1.072
18:15;1.092
18:30;1.064
18:45;1.100
19:00;1.072
19:15;1.236
19:30;1.452
19:45;1.540
20:00;1.632
20:15;1.680
20:30;1.720
20:45;1.728
21:00;1.688
21:15;1.712
21:30;1.692
21:45;1.640
22:00;1.560
22:15;1.468
22:30;1.372
22:45;1.332
23:00;1.284
23:15;1.216
23:30;1.168
23:45;1.112
00:00;1.048
