 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.560
00:30;1.472
00:45;1.372
01:00;1.344
01:15;1.324
01:30;1.328
01:45;1.328
02:00;1.304
02:15;1.296
02:30;1.288
02:45;1.284
03:00;1.276
03:15;1.236
03:30;1.188
03:45;1.196
04:00;1.132
04:15;1.120
04:30;1.124
04:45;1.116
05:00;1.120
05:15;1.116
05:30;1.116
05:45;1.112
06:00;1.108
06:15;1.028
06:30;0.936
06:45;0.872
07:00;0.848
07:15;0.812
07:30;0.808
07:45;0.764
08:00;0.840
08:15;0.888
08:30;0.976
08:45;1.080
09:00;1.092
09:15;1.148
09:30;1.196
09:45;1.208
10:00;1.264
10:15;1.252
10:30;1.340
10:45;1.396
11:00;1.432
11:15;1.659
11:30;2.365
11:45;1.492
12:00;1.672
12:15;1.820
12:30;1.844
12:45;1.324
13:00;1.852
13:15;1.536
13:30;1.672
13:45;1.520
14:00;1.981
14:15;1.572
14:30;1.584
14:45;1.668
15:00;1.692
15:15;1.704
15:30;1.732
15:45;2.119
16:00;2.028
16:15;2.025
16:30;1.840
16:45;2.060
17:00;1.860
17:15;2.212
17:30;1.860
17:45;2.207
18:00;1.941
18:15;2.016
18:30;2.164
18:45;2.667
19:00;2.792
19:15;2.420
19:30;2.876
19:45;2.712
20:00;3.064
20:15;3.084
20:30;3.068
20:45;3.016
21:00;2.744
21:15;2.728
21:30;2.724
21:45;2.640
22:00;2.448
22:15;2.240
22:30;1.976
22:45;1.860
23:00;1.812
23:15;1.736
23:30;1.676
23:45;1.624
00:00;1.564
