 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.104
00:30;1.100
00:45;1.068
01:00;1.044
01:15;1.024
01:30;1.020
01:45;1.020
02:00;1.012
02:15;1.008
02:30;1.000
02:45;0.988
03:00;0.964
03:15;0.960
03:30;0.952
03:45;0.948
04:00;0.948
04:15;0.948
04:30;0.944
04:45;0.952
05:00;0.952
05:15;0.956
05:30;0.968
05:45;0.972
06:00;0.992
06:15;1.016
06:30;1.076
06:45;1.236
07:00;1.192
07:15;0.896
07:30;0.812
07:45;0.820
08:00;0.820
08:15;0.832
08:30;0.860
08:45;0.892
09:00;0.912
09:15;0.940
09:30;0.988
09:45;1.004
10:00;1.044
10:15;1.076
10:30;1.100
10:45;1.184
11:00;1.204
11:15;1.212
11:30;1.208
11:45;1.232
12:00;1.248
12:15;1.224
12:30;1.236
12:45;1.248
13:00;1.288
13:15;1.268
13:30;1.260
13:45;1.232
14:00;1.164
14:15;1.212
14:30;1.300
14:45;1.168
15:00;1.168
15:15;1.196
15:30;1.256
15:45;1.176
16:00;1.124
16:15;1.140
16:30;1.148
16:45;1.132
17:00;1.124
17:15;1.100
17:30;1.076
17:45;1.156
18:00;1.104
18:15;1.080
18:30;1.088
18:45;1.292
19:00;1.412
19:15;1.604
19:30;1.976
19:45;2.148
20:00;2.312
20:15;1.976
20:30;2.004
20:45;2.008
21:00;1.876
21:15;1.984
21:30;1.976
21:45;1.920
22:00;1.880
22:15;1.820
22:30;1.752
22:45;1.612
23:00;1.524
23:15;1.408
23:30;1.356
23:45;1.216
00:00;1.204
