 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.600
00:30;1.536
00:45;1.484
01:00;1.292
01:15;1.236
01:30;1.248
01:45;1.272
02:00;1.256
02:15;1.244
02:30;1.228
02:45;1.220
03:00;1.168
03:15;1.132
03:30;1.132
03:45;1.124
04:00;1.124
04:15;1.124
04:30;1.128
04:45;1.132
05:00;1.128
05:15;1.120
05:30;1.128
05:45;1.132
06:00;1.312
06:15;1.484
06:30;1.376
06:45;0.996
07:00;0.848
07:15;0.824
07:30;0.812
07:45;0.832
08:00;0.832
08:15;0.872
08:30;1.571
08:45;
09:00;
09:15;
09:30;
09:45;
10:00;
10:15;
10:30;
10:45;
11:00;
11:15;
11:30;
11:45;
12:00;
12:15;
12:30;
12:45;
13:00;
13:15;
13:30;
13:45;
14:00;
14:15;
14:30;
14:45;
15:00;
15:15;
15:30;
15:45;
16:00;
16:15;
16:30;
16:45;
17:00;
17:15;
17:30;
17:45;
18:00;
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;1.592
21:00;2.600
21:15;2.624
21:30;2.556
21:45;2.420
22:00;2.264
22:15;2.184
22:30;2.088
22:45;1.996
23:00;1.928
23:15;1.840
23:30;1.748
23:45;1.680
00:00;1.544
