 ;Energy Meter 141 / Counter reading of power drawn counter / Meter Change  [kWh]0
00:15;1.516
00:30;1.444
00:45;1.356
01:00;1.300
01:15;1.248
01:30;1.248
01:45;1.240
02:00;1.236
02:15;1.236
02:30;1.232
02:45;1.228
03:00;1.220
03:15;1.216
03:30;1.168
03:45;1.124
04:00;1.120
04:15;1.120
04:30;1.120
04:45;1.116
05:00;1.116
05:15;1.132
05:30;1.104
05:45;1.100
06:00;1.120
06:15;1.112
06:30;0.992
06:45;0.864
07:00;0.808
07:15;0.792
07:30;1.055
07:45;1.288
08:00;2.503
08:15;1.105
08:30;0.833
08:45;1.084
09:00;0.952
09:15;0.920
09:30;0.928
09:45;0.968
10:00;1.004
10:15;0.992
10:30;1.036
10:45;0.960
11:00;0.940
11:15;0.968
11:30;0.956
11:45;1.000
12:00;1.040
12:15;1.060
12:30;1.092
12:45;1.424
13:00;1.396
13:15;1.400
13:30;1.380
13:45;1.376
14:00;1.392
14:15;1.436
14:30;1.444
14:45;1.436
15:00;1.492
15:15;1.492
15:30;1.768
15:45;1.508
16:00;1.472
16:15;1.448
16:30;1.460
16:45;1.432
17:00;1.472
17:15;1.428
17:30;1.460
17:45;1.496
18:00;1.508
18:15;1.456
18:30;1.444
18:45;1.500
19:00;1.568
19:15;1.975
19:30;2.280
19:45;2.452
20:00;2.596
20:15;2.600
20:30;2.656
20:45;2.788
21:00;3.036
21:15;3.008
21:30;2.704
21:45;2.428
22:00;2.340
22:15;2.232
22:30;2.112
22:45;2.036
23:00;1.916
23:15;1.824
23:30;1.748
23:45;1.656
00:00;1.652
