 36.290 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
 local_time in Africa/Dar_es_Salaam, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC,,,,,,,,,,,,,
" ""local_time"": ""Africa/Dar_es_Salaam"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""unknown"""," ""irradiance_diffuse"": ""unknown"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""-5.595276516619589"""," ""lon"": ""36.290240018721526"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""60"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""10"""," ""azim"": ""180"""," ""raw"": true}}"
local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
9/12/2019 17:00,11.252,0.167,0.066,27.196,,,,,,,,,,,,,
9/12/2019 18:00,0.489,0.006,0.014,24.394,,,,,,,,,,,,,
9/12/2019 19:00,0,0,0,22.25,,,,,,,,,,,,,
9/12/2019 20:00,0,0,0,20.8,,,,,,,,,,,,,
9/12/2019 21:00,0,0,0,19.633,,,,,,,,,,,,,
9/12/2019 22:00,0,0,0,18.618,,,,,,,,,,,,,
9/12/2019 23:00,0,0,0,17.79,,,,,,,,,,,,,
9/13/2019 0:00,0,0,0,17.169,,,,,,,,,,,,,
9/13/2019 1:00,0,0,0,16.727,,,,,,,,,,,,,
9/13/2019 2:00,0,0,0,16.356,,,,,,,,,,,,,
9/13/2019 3:00,0,0,0,16.036,,,,,,,,,,,,,
9/13/2019 4:00,0,0,0,15.743,,,,,,,,,,,,,
9/13/2019 5:00,0,0,0,15.501,,,,,,,,,,,,,
9/13/2019 6:00,0.065,0.001,0.007,15.266,,,,,,,,,,,,,
9/13/2019 7:00,7.954,0.086,0.076,16.48,,,,,,,,,,,,,
9/13/2019 8:00,23.422,0.389,0.073,19.448,,,,,,,,,,,,,
9/13/2019 9:00,34.124,0.63,0.076,23.41,,,,,,,,,,,,,
9/13/2019 10:00,41.378,0.819,0.081,26.692,,,,,,,,,,,,,
9/13/2019 11:00,45.483,0.941,0.085,29.064,,,,,,,,,,,,,
9/13/2019 12:00,46.676,0.984,0.088,30.637,,,,,,,,,,,,,
9/13/2019 13:00,45.267,0.949,0.088,31.464,,,,,,,,,,,,,
9/13/2019 14:00,41.138,0.834,0.087,31.556,,,,,,,,,,,,,
9/13/2019 15:00,33.012,0.613,0.097,30.759,,,,,,,,,,,,,
9/13/2019 16:00,22.775,0.376,0.095,29.272,,,,,,,,,,,,,
9/13/2019 17:00,10.228,0.132,0.081,27.038,,,,,,,,,,,,,
9/13/2019 18:00,0.414,0.004,0.015,24.079,,,,,,,,,,,,,
9/13/2019 19:00,0,0,0,21.909,,,,,,,,,,,,,
9/13/2019 20:00,0,0,0,20.558,,,,,,,,,,,,,
9/13/2019 21:00,0,0,0,19.549,,,,,,,,,,,,,
9/13/2019 22:00,0,0,0,18.714,,,,,,,,,,,,,
9/13/2019 23:00,0,0,0,18.033,,,,,,,,,,,,,
9/14/2019 0:00,0,0,0,17.513,,,,,,,,,,,,,
9/14/2019 1:00,0,0,0,17.101,,,,,,,,,,,,,
